grief-strickenpeg@me.com,Stone Fruit Allergy,
vickphilosophic@yahoo.com,Walnut Allergy,
w.disney@nyu.edu,Gluten Intolerant,
ra@hotmail.ca,Gluten Intolerant,
ach@frontiernet.net,Gluten Intolerant,
AW@nyu.edu,Gluten Intolerant,
JoseCC@hotmail.com,Gluten Intolerant,
pityobedient@outlook.com,Gluten Intolerant,
pityobedient@outlook.com,Vegetarian,
y.meson@nyu.edu,Halal,
slaon.g@gmail.com,Halal,
JHass@hotmail.com,Halal,
AB@gmail.com,Halal,
lizzieee42@gmail.com,Halal,
disillusionedjace@hotmail.com,Halal,
hopelesslaily@comcast.net,Halal,
referdefinitive@aol.com,Halal,
imra@hotmail.com,Halal,
imra@hotmail.com,Lactose Intolerant,absolutely no cheese
hh@zionhospital.org,Halal,
hh@zionhospital.org,Vegetarian,
kh@ucolumbia.edu,Kosher,
ssh@kimmellaw.com,Kosher,
harrydabarry@gmail.com,Kosher,
CP@mail.mcgill.ca,Kosher,
WoodDav@gmail.com,Kosher,
regretfulmandy@msn.com,Kosher,
fondnessnandy@live.com,Kosher,
axoverjoyed@live.com,Kosher,
misrepresentnippy@msn.com,Kosher,
sketchshort-term@hotmail.com,Kosher,
jbrown99@thomkinsu.edu,Lactose Intolerant,
KMC@frontiernet.net,Lactose Intolerant,
referdefinitive@aol.com,Vegan,
crumplecharming@me.com,Vegetarian,
jbrown99@thomkinsu.edu,Lactose Intolerant,
KMC@frontiernet.net,Lactose Intolerant,
referdefinitive@aol.com,Vegan,
crumplecharming@me.com,Vegetarian,
jneild@gmail.com,Lactose Intolerant,mild
m.qin2@nyu.edu,Lactose Intolerant,severe
DGronim@gmail.com,Lactose Intolerant,
showerbite-sized@me.com,Lactose Intolerant,
sneakhonorable@att.net,Lactose Intolerant,
endureadept@optonline.net,Lactose Intolerant,
ayesha@chaudhary.com,No Beef,
wx201@qq.com,No beef,
tomash@gmail.com,Nut allergy,
indifferentdan@msn.com,Peanut Allergy,
embarkjaunty@optonline.net,Pescatarian ,
occurearnest@verizon.net,Pescatarian ,
ch@webmail.ca,Seafood Allergy,severe allergy
MS@jimjimjimlaw.com,Seafood Allergy,
moehorny@comcast.net,Seafood Allergy,
laughgrounded@yahoo.ca,Seafood Allergy,
berriosada@hotmail.com,Soy Allergy,
xw@ucolumbia.com,Vegan,
spitzer@gmail.com,Vegan,
dc@clem.com,Vegetarian,
FlipFlip@hotmail.ca,Vegetarian,
kok@gmail.com,Vegetarian,
loriAvery@mail.co.uk,Vegetarian,
Deeuu@mail.co.uk,Vegetarian,
robbieanorak@yahoo.ca,Vegetarian,
mislaycloudy@optonline.net,Vegetarian,
lx@qq.com,Vegetarian,
lx@qq.com,Lactose Intolerant,
cheatloose@aol.com,Walnut Allergy,
