James,Hart,jh@aol.com,(100) 000 - 000,he / him
Chrtine,Liu,liubomb@hotmail.com,(100) 000 - 001,she / her
Alice,Marin,marin@gmail.com,(100) 000 - 002,she / her
Ariel,Wong,AWong@nyu.edu,(100) 000 - 003,she / her
Summer,Brown,SB@hotmail.com,(100) 000 - 004,she / her
Jarel,Ake,Akre92@sympatico.ca,(100) 000 - 005,he / him
Kevin,Vanderbilt,VanderBUILT@yahoo.com,(100) 000 - 006,he / him
Garrett,Freddo,FreddoInBeddo@gmail.com,(100) 000 - 007,he / him
Walter,White,whitewalt@aol.com,(100) 000 - 008,he / him
Matt,Moreland,MorelandMM@gmail.com,(100) 000 - 009,he / him
Jon,Ober,OberIT@aol.com,(100) 000 - 010,he / him
Jabari,Booker,BookerJabari@hotmail.com,(100) 000 - 011,they / them
Sam,Sanchez,SammySanchie@yahoo.ca,(100) 000 - 012,he / him
Gregg,Cook,GreggWith2Gs@aol.com,(100) 000 - 013,he / him
Betina,Gozo,GozoGonzo@hotmail.com,(100) 000 - 014,she / her
Anja,Garcia,Anja.Garcia@columbia.edu,(100) 000 - 015,she / her
Kim,Ngo,NoNgo@hotmail.com,(100) 000 - 016,she / her
Sock,Ong,SockOngSocksOff@hotmail.com,(100) 000 - 017,he / him
Anjali,Siva,AnjaliSiva@yahoo.ca,(100) 000 - 018,she / her
Mari,Su,MarieSu@aol.com,(100) 000 - 019,she / her
Megha,Kale,AttackOfTheMeghaKale@hotmail.com,(100) 000 - 020,she / her
